"shop_country_asin_date","asin","country","date","old_weighted_sales","new_weighted_sales","difference"
"合计_US_B0G49VCMHJ_20260121","B0G49VCMHJ","US","2026-01-21","13.4","11.8","1.6"
"合计_US_B0G49VCMHJ_20260122","B0G49VCMHJ","US","2026-01-22","12.5","10.8","1.7"
"合计_US_B0G49VCMHJ_20260123","B0G49VCMHJ","US","2026-01-23","11.7","9.9","1.8"
"合计_US_B0G49VCMHJ_20260124","B0G49VCMHJ","US","2026-01-24","10.3","8.5","1.8"
"合计_US_B0G49VCMHJ_20260125","B0G49VCMHJ","US","2026-01-25","8.8","7.4","1.4"
"合计_JP_B0FWK4RN65_20260127","B0FWK4RN65","JP","2026-01-27","3.1","4.4","-1.3"
"合计_US_B0FB3P6H48_20260128","B0FB3P6H48","US","2026-01-28","55.8","54.3","1.5"
"合计_CA_B0G35PYVR6_20260128","B0G35PYVR6","CA","2026-01-28","3.7","2.4","1.3"
"合计_US_B0FB3P6H48_20260129","B0FB3P6H48","US","2026-01-29","54.8","52","2.8"
"合计_US_B0FB3P6H48_20260130","B0FB3P6H48","US","2026-01-30","52.5","48.8","3.7"
"合计_US_B0FB3P6H48_20260131","B0FB3P6H48","US","2026-01-31","48.7","44.4","4.3"
"合计_US_B0D66D792T_20260201","B0D66D792T","US","2026-02-01","8.5","7.1","1.4"
"合计_US_B0FB3P6H48_20260201","B0FB3P6H48","US","2026-02-01","47.7","42.3","5.4"
"合计_US_B0D66D792T_20260202","B0D66D792T","US","2026-02-02","8.5","7","1.5"
"合计_US_B0FB3P6H48_20260202","B0FB3P6H48","US","2026-02-02","45.7","39.2","6.5"
"合计_US_B0D66D792T_20260203","B0D66D792T","US","2026-02-03","8.6","6.8","1.8"
"合计_US_B0FB3P6H48_20260203","B0FB3P6H48","US","2026-02-03","43.7","35.9","7.8"
"合计_US_B0D66D792T_20260204","B0D66D792T","US","2026-02-04","8.7","6.8","1.9"
"合计_US_B0FB3P6H48_20260204","B0FB3P6H48","US","2026-02-04","42.9","34.8","8.1"
"合计_US_B0D66D792T_20260205","B0D66D792T","US","2026-02-05","8.7","6.6","2.1"
"合计_US_B0FB3P6H48_20260205","B0FB3P6H48","US","2026-02-05","40.4","32.5","7.9"
"合计_US_B0D66D792T_20260206","B0D66D792T","US","2026-02-06","8.6","6.4","2.2"
"合计_US_B0FB3P6H48_20260206","B0FB3P6H48","US","2026-02-06","38.6","30.6","8"
"合计_US_B0D66D792T_20260207","B0D66D792T","US","2026-02-07","8.5","6.5","2"
"合计_US_B0FB3P6H48_20260207","B0FB3P6H48","US","2026-02-07","38.4","29.2","9.2"
"合计_US_B0D66D792T_20260208","B0D66D792T","US","2026-02-08","8.2","6.4","1.8"
"合计_US_B0FB3P6H48_20260208","B0FB3P6H48","US","2026-02-08","37.5","27.7","9.8"
"合计_US_B0D66D792T_20260209","B0D66D792T","US","2026-02-09","8.1","6.3","1.8"
"合计_US_B0FB3P6H48_20260209","B0FB3P6H48","US","2026-02-09","36.9","26.9","10"
